valuedatetime,Month,datavalue,dataqualitycode,variable,units,sitecode,sitename,,,,Year
9/2/2018 10:15,9,21.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 10:30,9,21.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 10:45,9,21.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 11:00,9,22,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 11:15,9,22,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 11:30,9,22.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 11:45,9,22.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 12:00,9,22.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 12:15,9,22.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 12:30,9,23.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 12:45,9,23,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 13:00,9,22.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 13:15,9,23,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 13:30,9,23.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 13:45,9,23.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 14:00,9,22.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 14:15,9,22.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 14:30,9,22.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 14:45,9,21.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 15:00,9,21.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 15:15,9,21.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 15:30,9,21.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 15:45,9,21.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 16:00,9,21.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 16:15,9,21.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 16:30,9,21.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 16:45,9,21.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 17:00,9,21.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 17:15,9,21.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 17:30,9,21.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 17:45,9,21.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 18:00,9,21,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 18:15,9,20.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 18:30,9,20.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 18:45,9,20.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 19:00,9,20.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 19:15,9,20.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 19:30,9,20.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 19:45,9,20.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 20:00,9,20.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 20:15,9,20.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 20:30,9,20.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 20:45,9,21.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 21:00,9,21.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 21:15,9,21.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 21:30,9,21.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 21:45,9,21.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 22:00,9,21.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 22:15,9,21.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 22:30,9,21.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 22:45,9,21.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 23:00,9,21.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 23:15,9,21.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 23:30,9,21.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/2/2018 23:45,9,21.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 0:00,9,21.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 0:15,9,21.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 0:30,9,22,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 0:45,9,21.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 1:00,9,21.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 1:15,9,22.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 1:30,9,22.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 1:45,9,21.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 2:00,9,21.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 2:15,9,22.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 2:30,9,22.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 2:45,9,22.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 3:00,9,22.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 3:15,9,22.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 3:30,9,22,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 3:45,9,22,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 4:00,9,22,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 4:15,9,22,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 4:30,9,22,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 4:45,9,22,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 5:00,9,22,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 5:15,9,21.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 5:30,9,21.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 5:45,9,21.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 6:00,9,21.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 6:15,9,21.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 6:30,9,21.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 6:45,9,21.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 7:00,9,21,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 7:15,9,20.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 7:30,9,20.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 7:45,9,20.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 8:00,9,20.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 8:15,9,20.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 8:30,9,20.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 8:45,9,20.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 9:00,9,20.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 9:15,9,21.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 9:30,9,21.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 9:45,9,21.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 10:00,9,21.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 10:15,9,21.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 10:30,9,21.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 10:45,9,21.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 11:00,9,21.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 11:15,9,21.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 11:30,9,21.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 11:45,9,21.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 12:00,9,22.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 12:15,9,22.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 12:30,9,22.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 12:45,9,22.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 13:00,9,23,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 13:15,9,23.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 13:30,9,23.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 13:45,9,24.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 14:00,9,24,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 14:15,9,23.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 14:30,9,23.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 14:45,9,23.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 15:00,9,22.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 15:15,9,22.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 15:30,9,22.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 15:45,9,22.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 16:00,9,22.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 16:15,9,22.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 16:30,9,22.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 16:45,9,22.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 17:00,9,22.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 17:15,9,22.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 17:30,9,22,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 17:45,9,21.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 18:00,9,21.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 18:15,9,21.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 18:30,9,21.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 18:45,9,21.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 19:00,9,21.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 19:15,9,21.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 19:30,9,21.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 19:45,9,21,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 20:00,9,20.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 20:15,9,20.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 20:30,9,21,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 20:45,9,21,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 21:00,9,21.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 21:15,9,21.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 21:30,9,21.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 21:45,9,21.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 22:00,9,21.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 22:15,9,21.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 22:30,9,22,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 22:45,9,22,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 23:00,9,22,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 23:15,9,22.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 23:30,9,22.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/3/2018 23:45,9,22.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 0:00,9,22.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 0:15,9,22.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 0:30,9,22.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 0:45,9,22.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 1:00,9,23,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 1:15,9,22.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 1:30,9,22.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 1:45,9,22.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 2:00,9,22.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 2:15,9,22.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 2:30,9,22.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 2:45,9,23.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 3:00,9,23.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 3:15,9,23.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 3:30,9,23.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 3:45,9,23.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 4:00,9,23.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 4:15,9,23.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 4:30,9,23.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 4:45,9,22.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 5:00,9,22.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 5:15,9,22.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 5:30,9,22.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 5:45,9,22.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 6:00,9,22.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 6:15,9,22.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 6:30,9,22.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 6:45,9,22.4,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 7:00,9,22.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 7:15,9,22,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 7:30,9,21.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 7:45,9,21.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 8:00,9,21.8,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 8:15,9,21.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 8:30,9,21.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 8:45,9,21.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 9:00,9,21.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 9:15,9,21.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 9:30,9,21.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 9:45,9,21.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 10:00,9,21.7,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 10:15,9,21.9,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 10:30,9,22.1,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 10:45,9,22.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 11:00,9,22.2,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 11:15,9,22.3,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 11:30,9,22.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 11:45,9,22.5,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
9/4/2018 12:00,9,22.6,Good,Temperature Water,deg c,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY,,,,2018
