"fct_inorder.MY.","phosphorus","silica","tss","chla","nitrogen","salinity","temperature","N.P","species.sum","abundance.sum","species.avg","abundance.avg"
"May - 2019",0.015,NA,19.6333333333333,12.42,0.048,31.3,12,3.2,"Small_PN.Sum.",0,"Alex.avg.",52.5
"Jun - 2019",0.013,NA,11.4,9.34,0.02,31.55,14.3375,1.53846153846154,"Small_PN.Sum.",67.5,"Alex.avg.",187.5
"Jul - 2019",NA,NA,NA,11.76,0.036,32.4333333333333,17.7111111111111,NA,"Small_PN.Sum.",3637.5,"Alex.avg.",153
"Aug - 2019",0.033,NA,57.1,15.1133333333333,0.037,33.4285714285714,17.5142857142857,1.12121212121212,"Small_PN.Sum.",210,"Alex.avg.",0
"Sep - 2019",0.029,NA,19.6,19.47,0.0153333333333333,29.5350572717806,17.4,0.528735632183907,"Small_PN.Sum.",3180,"Alex.avg.",0
"Oct - 2019",0.02,NA,17.5,2.04,0.058,29.2990258649647,13.5,2.9,"Small_PN.Sum.",712.5,"Alex.avg.",0
"Nov - 2019",0.0273333333333333,NA,16.2333333333333,1.41666666666667,0.157,24.7744791666667,5,5.7439024390244,"Small_PN.Sum.",0,"Alex.avg.",0
"Feb - 2020",NA,NA,NA,NA,NA,NA,NA,NA,"Small_PN.Sum.",105,"Alex.avg.",0
"Mar - 2020",NA,NA,NA,NA,NA,NA,NA,NA,"Small_PN.Sum.",435,"Alex.avg.",10.5
"Apr - 2020",0.00968,NA,NA,NA,0.12794,19.4432714285714,9.2,13.2169421487603,"Small_PN.Sum.",90,"Alex.avg.",0
"May - 2020",0.00729,NA,NA,8.12055,0.0167,21.9480080618072,17.2,2.29080932784637,"Small_PN.Sum.",3450,"Alex.avg.",5.625
"Jun - 2020",0.01218,NA,NA,3.80812,NA,30.85,15.3111111111111,NA,"Small_PN.Sum.",405740,"Alex.avg.",3
"Jul - 2020",0.0287,NA,NA,5.73815333333333,0.0388,30.7333333333333,17.5888888888889,1.35191637630662,"Small_PN.Sum.",3967.5,"Alex.avg.",0
"Aug - 2020",0.04206,NA,NA,6.22241,0.0204,31.1333333333333,19.75,0.485021398002853,"Small_PN.Sum.",735,"Alex.avg.",0
"Sep - 2020",0.03587,NA,NA,15.44574,0.0307,31.2039465463381,20.5,0.855868413716197,"Small_PN.Sum.",44250,"Alex.avg.",0
"Oct - 2020",0.02488,NA,NA,2.06035666666667,0.0647,31.1345549210615,12.5,2.60048231511254,"Small_PN.Sum.",682.5,"Alex.avg.",0
"Nov - 2020",0.02294,NA,NA,4.09283,0.1196,29.1561992363763,6.8,5.21360069747167,"Small_PN.Sum.",720,"Alex.avg.",0
"Dec - 2020",0.0301166666666667,NA,NA,1.56288,0.153633333333333,23.186012195122,NA,5.10127282789152,"Small_PN.Sum.",157.5,"Alex.avg.",0
"Jan - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Small_PN.Sum.",232.5,"Alex.avg.",0
"Feb - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Small_PN.Sum.",0,"Alex.avg.",0
"Mar - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Small_PN.Sum.",0,"Alex.avg.",0
"Apr - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Small_PN.Sum.",0,"Alex.avg.",9.375
"May - 2021",NA,NA,NA,NA,NA,31,11,NA,"Small_PN.Sum.",0,"Alex.avg.",7.5
"Jun - 2021",NA,NA,NA,NA,NA,31.7,14.2111111111111,NA,"Small_PN.Sum.",2265,"Alex.avg.",3.75
"Jul - 2021",NA,NA,NA,NA,NA,28.55,18.025,NA,"Small_PN.Sum.",165,"Alex.avg.",0
"Aug - 2021",NA,NA,NA,NA,NA,29.55,19.475,NA,"Small_PN.Sum.",112.5,"Alex.avg.",1.875
"Sep - 2021",NA,NA,NA,NA,NA,32.5,17.9,NA,"Small_PN.Sum.",37.5,"Alex.avg.",0
"Oct - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Small_PN.Sum.",0,"Alex.avg.",0
"Nov - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Small_PN.Sum.",37.5,"Alex.avg.",0
